[17:02:06] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:02:06] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:02:06] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:02:06] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[17:02:06] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2854 for Minecraft 1.12.2 loading
[17:02:06] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_172, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_172
[17:02:06] [main/DEBUG] [FML]: Java classpath at launch is:
[17:02:06] [main/DEBUG] [FML]:     forge-1.12.2-14.23.5.2854.jar
[17:02:06] [main/DEBUG] [FML]: Java library path at launch is:
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\Sun\Java\bin
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:02:06] [main/DEBUG] [FML]:     C:\ProgramData\Oracle\Java\javapath
[17:02:06] [main/DEBUG] [FML]:     C:\Windows\system32
[17:02:06] [main/DEBUG] [FML]:     C:\Windows
[17:02:06] [main/DEBUG] [FML]:     C:\Windows\System32\Wbem
[17:02:06] [main/DEBUG] [FML]:     C:\Windows\System32\WindowsPowerShell\v1.0\
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Windows Live\Shared
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR
[17:02:06] [main/DEBUG] [FML]:     %SystemRoot%\system32
[17:02:06] [main/DEBUG] [FML]:     %SystemRoot%
[17:02:06] [main/DEBUG] [FML]:     %SystemRoot%\System32\Wbem
[17:02:06] [main/DEBUG] [FML]:     %SYSTEMROOT%\System32\WindowsPowerShell\v1.0\
[17:02:06] [main/DEBUG] [FML]:     %SYSTEMROOT%\System32\OpenSSH\
[17:02:06] [main/DEBUG] [FML]:     
[17:02:06] [main/DEBUG] [FML]:     C:\Users\Talz\AppData\Local\Microsoft\WindowsApps
[17:02:06] [main/DEBUG] [FML]:     .
[17:02:06] [main/DEBUG] [FML]: Determined Minecraft Libraries Root: C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\libraries
[17:02:06] [main/DEBUG] [FML]: Cleaning up mods folder: .\mods
[17:02:06] [main/DEBUG] [FML]: Examining file: # LibLoader.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: llibrary-1.7.19-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Found existing ContainedDep llibrary-core-1.0.11-1.12.2.jar(net.ilexiconn:llibrary-core:1.0.11-1.12.2) from C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\mods\memory_repo\net\ilexiconn\llibrary-core\1.0.11-1.12.2\llibrary-core-1.0.11-1.12.2.jar extracted to .\mods\llibrary-1.7.19-1.12.2.jar, skipping extraction
[17:02:06] [main/DEBUG] [FML]: Examining file: llibrary-core-1.0.11-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Making maven link for net.ilexiconn:llibrary:1.7.19-1.12.2 in memory to C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\llibrary-1.7.19-1.12.2.jar.
[17:02:06] [main/DEBUG] [FML]: Examining file: LoadingScreens-1.12.2-0.3.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: lostcities-1.12-2.0.22.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: lostsouls-1.12-1.1.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: lycanitesmobs-1.12.2-2.0.7.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: MainMenuScale-1.3.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: mobends-0.24_for_MC-1.12.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: MouseTweaks-2.10-mc1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: MultiMine-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Neat 1.4-17.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: notreepunching-2.0.20.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: OreLib-1.12.2-3.6.0.1.jar
[17:02:06] [main/DEBUG] [FML]: Making maven link for org.orecruncher:OreLib:1.12.2-3.6.0.1 in memory to C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\OreLib-1.12.2-3.6.0.1.jar.
[17:02:06] [main/DEBUG] [FML]: Examining file: phosphor-1.12.2-0.2.6+build50-universal.jar
[17:02:06] [main/DEBUG] [FML]: Making maven link for me.jellysquid.mods:phosphor:1.12.2-0.2.6+build50 in memory to C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\phosphor-1.12.2-0.2.6+build50-universal.jar.
[17:02:06] [main/DEBUG] [FML]: Examining file: PotionCore-1.9_for_1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: PotionFingers-r1.0-8.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: QualityTools-1.0.7_for_1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: RealisticTorches-1.12.2-2.1.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: RebornCore-1.12.2-3.19.3.524-universal.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: RecurrentComplex-1.4.8.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Reskillable-1.12.2-1.13.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ResourceLoader-MC1.12.1-1.5.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: RLTweaker-1.12.2-0.3.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: RoguelikeDungeons-1.12.2-1.8.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: roughTweaks0.2.4-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Ruins-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ScalingHealth-1.12.2-1.3.42+147.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SereneSeasons-1.12.2-1.2.18-universal.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SilentLib-1.12.2-3.0.14+168.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: sit-1.12.2-v1.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SnowRealMagic-0.3.3.jar
[17:02:06] [main/DEBUG] [FML]: Making maven link for snownee.snow:SnowRealMagic:0.3.3 in memory to C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\SnowRealMagic-0.3.3.jar.
[17:02:06] [main/DEBUG] [FML]: Examining file: So+Many+Enchantments+V0.4.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SoundFilters-0.12_for_1.12.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: spartanfire-0.05.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SpartanShields-1.12.2-1.5.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SpartanWeaponry-1.12.2-beta-1.3.8.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: SpawnerControl-1.6.3b.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: stg-1.12.2-1.2.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: switchbow-1.5.7.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: tanspit-1.12.2-1.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: TickProfiler-1.12-0.0.10.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: tnt_utilities-mc1.12-1.2.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ToolBelt-1.12.2-1.9.12.jar
[17:02:06] [main/DEBUG] [FML]: Found existing ContainedDep gigaherz.commons-1.12.1-0.6.4.jar(gigaherz.commons:gigaherz.commons-1.12.1:0.6.4) from C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\mods\memory_repo\gigaherz\commons\gigaherz.commons-1.12.1\0.6.4\gigaherz.commons-1.12.1-0.6.4.jar extracted to .\mods\ToolBelt-1.12.2-1.9.12.jar, skipping extraction
[17:02:06] [main/DEBUG] [FML]: Examining file: gigaherz.commons-1.12.1-0.6.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ToughAsNails-1.12.2-3.1.0.141-universal.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Traverse-1.12.2-1.6.0-69.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Trinkets and Baubles-1.12.2-0.29.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: trumpetskeleton-1.12-1.0.2.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: TschippLib MC1.12.2 v1.1.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: tumbleweed-1.12-0.4.7.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: VariedCommodities_1.12.2(21nov19).jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Waystones_1.12.2-4.1.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: WearableBackpacks-1.12.2-3.1.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: wolfarmor-1.12.2-3.4.1.1-UNIVERSAL-signed.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: xpfromharvest-1.12.2-1.1.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: xptome-1.12.2-v1.1.4.jar
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\memory_repo\net\ilexiconn\llibrary-core\1.0.11-1.12.2\llibrary-core-1.0.11-1.12.2.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\llibrary-1.7.19-1.12.2.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\OreLib-1.12.2-3.6.0.1.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\phosphor-1.12.2-0.2.6+build50-universal.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\SnowRealMagic-0.3.3.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: File already proccessed C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\memory_repo\gigaherz\commons\gigaherz.commons-1.12.1\0.6.4\gigaherz.commons-1.12.1-0.6.4.jar, Skipping
[17:02:06] [main/DEBUG] [FML]: Enabling runtime deobfuscation
[17:02:06] [main/DEBUG] [FML]: Instantiating coremod class FMLCorePlugin
[17:02:06] [main/DEBUG] [FML]: Found signing certificates for coremod FMLCorePlugin (net.minecraftforge.fml.relauncher.FMLCorePlugin)
[17:02:06] [main/DEBUG] [FML]: Found certificate e3c3d50c7c986df74c645c0ac54639741c90a557
[17:02:06] [main/DEBUG] [FML]: Added access transformer class net.minecraftforge.fml.common.asm.transformers.AccessTransformer to enqueued access transformers
[17:02:06] [main/DEBUG] [FML]: Enqueued coremod FMLCorePlugin
[17:02:06] [main/DEBUG] [FML]: Instantiating coremod class FMLForgePlugin
[17:02:06] [main/DEBUG] [FML]: Found signing certificates for coremod FMLForgePlugin (net.minecraftforge.classloading.FMLForgePlugin)
[17:02:06] [main/DEBUG] [FML]: Found certificate e3c3d50c7c986df74c645c0ac54639741c90a557
[17:02:06] [main/DEBUG] [FML]: Enqueued coremod FMLForgePlugin
[17:02:06] [main/DEBUG] [FML]: All fundamental core mods are successfully located
[17:02:06] [main/DEBUG] [FML]: Discovering coremods
[17:02:06] [main/INFO] [FML]: Searching C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods for mods
[17:02:06] [main/DEBUG] [FML]:   Adding # LibLoader.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding AdHooks-1.12.2-3.2.3.0-build.0435.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding Advanced-Fishing-1.12.2-1.3.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding AIReducer-1.12.2-0.1.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding alcatrazcore-1.0.4.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding antiqueatlas-1.12.2-4.6.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding anvilpatch-1.0.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding Aquaculture-1.12.2-1.6.8.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding armorunder-mc1.12.2-1.0.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding AutoRegLib-1.3-32.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding BacoDifficulty-1.0.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding BattleTowers-1.12.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding Baubles-1.12-1.5.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding BaublesHud-1.12.2-5.0.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding BetterCombat-1.12.2-1.5.6.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding BetterFoliage-MC1.12-2.2.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding better_survival-1.4.1.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding Bloodmoon-MC1.12.2-1.5.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding BNBGamingLib-1.12.2-2.17.6.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding Born+In+A+Barn+V1.8-1.12-1.1.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding Bountiful Baubles-1.12.2-0.1.5.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding campfire-1.12-v1.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding carrotslib-mc1.12.2-1.0.0b1.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CarryOn MC1.12.2 v1.12.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding ChunkAnimator-MC1.12-1.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding comforts-1.12.2-1.4.1.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CompatSkills-1.12.2-1.17.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CoralReef-2.5-1.12.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding corpsecomplex-1.12.2-1.0.10.1.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding craftablechainmail-1.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CraftableHorseArmour-1.3.0-1.12.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CraftTweaker2-1.12-4.1.20.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CreativeCore_v1.9.90_mc1.12.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding CustomMainMenu-MC1.12.2-2.0.9.1.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding defiledlands-1.12.2-1.4.3.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding disenchanter-[1.12]1.6.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding DoomlikeDungeons-1.13.2-MC1.12.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding dttraverse-1.5.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding DynamicSurroundings-1.12.2-3.6.1.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding DynamicTrees-1.12.2-0.9.7.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding EnchantmentDescriptions-1.12.2-1.1.20.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding EnhancedVisuals_v1.2.7_mc1.12.2.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding FamiliarFauna-1.12.2-1.0.11.jar to the mod list
[17:02:06] [main/DEBUG] [FML]:   Adding FancyBlockParticles-1.12.x-2.4.1.jar to the mod list
